,country,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
0,US,326307,312116,337736,336702,361596,362335,423484,475139,418146,499345,489705,529933,527370,516672,466164,169070,173676,222617,312856,326353,310205,333102,335011,360854,337690,310899,406574,433041,458527,509997,546502,546502,475791,510805
1,FR,32402,30838,35761,38070,39790,36153,37629,39566,38050,39347,34234,33284,33309,33147,22040,2972,3966,7276,16492,20236,18531,16627,9838,12553,13523,10526,11656,11841,14513,19386,29023,29023,23826,25826
2,CN,753,1495,1678,4991,5942,18875,20405,26216,24478,25635,24529,23314,21587,7001,11078,13077,17174,20002,21220,16170,21289,24190,23033,25363,20472,16079,28784,21063,18000,14743,16284,16284,6729,12301
3,BR,15809,14089,14901,13071,12033,11458,13493,11614,10812,13196,12612,13902,13072,17117,13665,1677,2023,2629,4195,5362,7415,9683,10253,12260,12270,9471,7923,6386,8184,9441,12080,12080,9560,5198
4,CA,18712,20361,25801,26415,28799,26015,28400,32210,32228,35575,35171,38738,40962,39683,34485,7594,7360,10632,14424,15488,14471,15002,13847,15782,13809,10368,11242,11939,12097,15990,23193,23193,28762,32247
5,CH,15084,14375,16515,15715,16986,17056,17856,17245,16293,17196,14561,15457,15633,15758,9829,1103,1835,3594,7352,8588,6977,6255,3989,5092,4525,3500,4108,5203,5851,7861,12302,12302,11835,12624
6,DE,52882,52997,58466,60048,66242,65438,69371,68636,67296,71957,58515,55546,56457,57160,38092,9482,11130,15946,27915,32192,31126,29413,20617,21143,18675,15780,20105,23258,25501,33918,48237,48237,49632,54126
7,IN,48483,40405,41739,40234,43156,44280,42914,46138,40800,44782,45630,49789,51424,49169,36998,1625,4442,13601,14957,16018,17069,26082,29973,35321,37984,35039,37106,30255,16428,18120,24645,24645,28445,31295
8,JP,19147,16650,18730,17799,18132,16528,20370,20500,20335,19785,23823,18696,29123,24809,20393,10560,6253,9644,14715,20482,15829,17624,21143,22592,16400,12744,20579,24660,22570,23074,26935,26935,22252,26184
9,SA,4934,4570,4438,4421,4701,8190,10402,9748,6091,4783,3949,4901,5439,4493,3206,505,922,2195,2100,2105,2085,2470,1462,1807,2385,1839,1975,2462,2603,3927,3723,3723,3402,2495
10,MX,11722,3135,10401,11103,12365,11891,4581,2472,2117,2507,3155,3371,3475,4009,2242,686,623,1506,2207,2392,3786,6515,6284,11691,10672,8011,3641,5612,6771,5338,4209,4209,4721,6637
11,RU,30310,26341,29815,32502,35162,34943,37567,38274,34354,32836,32236,30723,30095,28087,26566,5127,6629,13179,19152,24494,24399,22729,17886,21328,20425,16827,21693,24546,29371,34614,37454,37454,29053,33564
12,AE,50112,41234,42192,37644,35024,41810,46144,47164,45244,48216,44974,46154,46156,38004,26840,5850,8510,11476,14930,17130,18226,22932,23002,26612,25926,19486,23960,22668,20176,20936,19890,19890,27770,33954
13,IT,27306,22176,24157,22412,21107,32511,36937,37322,31609,33128,28138,27173,27361,27127,11122,2805,3574,6094,14756,18889,16314,15220,9638,9290,8246,7125,8542,10590,11747,18170,25598,25598,23462,23070
14,ES,24410,23493,27758,35547,35264,33255,41868,36609,37668,39285,30520,28218,26840,33139,21258,2049,2495,4885,23429,31819,21459,16662,10107,11807,9933,9063,11604,15237,20206,30418,46912,46912,38457,39625
15,GB,43981,49718,55755,61215,64632,63980,66053,65866,59308,61760,51393,49581,49411,44025,33538,4747,6008,7460,17614,28049,24557,21987,12156,15071,11010,8023,9587,10639,12826,19038,25970,25970,32594,35584
16,DK,8827,8915,10292,9846,10428,10443,10818,12073,11669,12344,10343,9577,9690,9922,6444,879,1102,2026,4305,4878,4733,4228,2732,2664,2255,1596,2034,2372,2658,4321,7204,7204,7556,8290
17,AE,50112,41234,42192,37644,35024,41810,46144,47164,45244,48216,44974,46154,46156,38004,26840,5850,8510,11476,14930,17130,18226,22932,23002,26612,25926,19486,23960,22668,20176,20936,19890,19890,27770,33954
18,NL,13500,13377,16351,18585,19483,17552,19436,18028,17944,20850,16514,15023,14881,15143,11137,2026,3066,4297,8084,11168,10600,9723,7283,7940,7333,5378,6188,7191,8023,10587,15741,15741,15728,16808
19,TR,22251,22801,22873,13245,11230,13663,14222,16660,14928,15090,12451,11551,12724,12163,8683,1266,1756,4690,9015,16698,17520,16626,11583,7849,12973,13041,14844,15178,12485,20617,28355,28355,25489,24522
